编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
710,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao耀宇工厂店"，"点我对话"),耀宇工厂店,耀宇服饰有限公司,,,,,https://shop355549215.taobao.com,,,5405.00,广州,秋冬女装,,4.8125,8.54%,4.9375,62.01%,4.9375分,60.47%,,,,,,,,,,
711,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩都衣舍1号店66"，"点我对话"),韩都衣舍1号店66,金禅生活馆,,,,,https://shop102386293.taobao.com,,,65968.00,广州,秋冬女装,,4.83495分,19.49%,4.90291分,40.98%,4.93204分,57.01%,,,,,,,,,,
712,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao陕北米脂9999"，"点我对话"),陕北米脂9999,米脂精品店,,,,,https://shop229635832.taobao.com,,,1289.28,广州,秋冬女装,,4.62821,-3.48%,4.66234,-3.58%,4.68831分,-3.17%,,,,,,,,,,
713,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoonepiecebar"，"点我对话"),onepiecebar,心海企业店,,,,,https://shop436297008.taobao.com,,,0,广州,秋冬女装,,4.59322,-4.61%,4.57627,-5.66%,4.52542分,-6.84%,,,,,,,,,,
714,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao锐雯精品商贸"，"点我对话"),锐雯精品商贸,u[2200672859445],,,,,https://shop281108270.taobao.com,,,1116.62,广州,秋冬女装,,4.70968,-2.13%,4.80645,-0.78%,4.90323分,34.26%,,,,,,,,,,
715,北京贝邦尼服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobeeboone贝邦尼旗舰店"，"点我对话"),beeboone贝邦尼旗舰店,beeboone贝邦尼旗舰店,,,,,https://shop113176450.taobao.com,,,0,广州,秋冬女装,,,,,,,,,,,,,,,,,
716,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博睿七店"，"点我对话"),博睿七店,博睿七店,,,,,https://shop414055277.taobao.com,,,456.32,广州,秋冬女装,,4.58537,-5.15%,4.70732,-3.13%,4.70732分,-3.20%,,,,,,,,,,
717,清河县开天绒毛制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凯隆胜鑫旗舰店"，"点我对话"),凯隆胜鑫旗舰店,凯隆胜鑫旗舰店,,,,,https://shop533200591.taobao.com,,,714.00,广州,秋冬女装,,5.0分,100%,5.0分,100%,5.0分,100%,,,,,,,,,,
718,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao广州秀秀有限公司"，"点我对话"),广州秀秀有限公司,秀秀官方店,,,,,https://shop178190200.taobao.com,,,621.62,广州,秋冬女装,,4.56909,-4.71%,4.66182,-3.59%,4.71455分,-2.63%,,,,,,,,,,
719,北京梦琪莉美服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧巴顿服饰旗舰店"，"点我对话"),欧巴顿服饰旗舰店,欧巴顿服饰旗舰店,,,,,https://shop111913121.taobao.com,,,1313593.00,广州,秋冬女装,,4.87417分,1.05%,4.74172分,1.86%,4.77483分,1.35%,,,,,,,,,,
720,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓉蓉ii"，"点我对话"),蓉蓉ii,多彩情调生活屋,,,,,https://shop265665532.taobao.com,,,0,广州,秋冬女装,,4.47699,-7.39%,4.56485,-6.07%,4.58159分,-5.79%,,,,,,,,,,
721,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaonikolee2"，"点我对话"),nikolee2,大巨人大码男装,,,,,https://shop34003478.taobao.com,,,9734.00,广州,秋冬女装,,4.71309分,-1.71%,4.74373分,-1.90%,4.80223分,-0.82%,,,,,,,,,,
722,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao广州欧拓服饰有限公司"，"点我对话"),广州欧拓服饰有限公司,欧拓服饰官方店,,,,,https://shop267748140.taobao.com,,,1535.40,广州,秋冬女装,,4.55,-5.11%,4.58,-5.29%,4.62分,-4.59%,,,,,,,,,,
723,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoo蘑菇小巷o"，"点我对话"),o蘑菇小巷o,o蘑菇小巷o,,,,,https://shop101746527.taobao.com,,,848.20,广州,秋冬女装,,4.84分,21.96%,4.848分,7.60%,4.848分,3.85%,,,,,,,,,,
724,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao黄怡陌陌2015"，"点我对话"),黄怡陌陌2015,美女黄怡琳,,,,,https://shop163598907.taobao.com,,,382.06,广州,秋冬女装,,4.61393,-4.12%,4.66618,-3.67%,4.68505分,-3.46%,,,,,,,,,,
725,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao北京77街时装"，"点我对话"),北京77街时装,北京77街时装,,,,,https://shop101749336.taobao.com,,,764.00,深圳,秋冬女装,,4.84906分,26.37%,4.90566分,42.65%,4.90566分,40.33%,,,,,,,,,,
726,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao品牌折扣网店1"，"点我对话"),品牌折扣网店1,米虫家高端女装 轻奢,,,,,https://shop106850439.taobao.com,,,8797.00,深圳,秋冬女装,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
727,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao曹小轩3007"，"点我对话"),曹小轩3007,稻壳儿小姐高档女装,,,,,https://shop106786622.taobao.com,,,8008.00,深圳,秋冬女装,,4.76923,-0.54%,4.76923,-1.37%,4.76923分,-1.50%,,,,,,,,,,
728,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao红火杂货铺子"，"点我对话"),红火杂货铺子,d[s273629056],,,,,https://shop273629056.taobao.com,,,1046.62,深圳,秋冬女装,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
729,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao先锋生活店"，"点我对话"),先锋生活店,先锋生活企业店,,,,,https://shop275610307.taobao.com,,,1989.40,深圳,秋冬女装,,4.67742,-2.81%,4.64516,-4.11%,4.77419分,-1.62%,,,,,,,,,,
730,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蝶飞舞女装"，"点我对话"),蝶飞舞女装,专柜正品女装折扣店,,,,,https://shop108841923.taobao.com,,,5382.00,深圳,秋冬女装,,4.26761分,-11.00%,4.73239分,-2.13%,4.71831分,-2.56%,,,,,,,,,,
731,北京艾希服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao黑诺旗舰店"，"点我对话"),黑诺旗舰店,黑诺旗舰店,13931066086,,,,https://shop113007074.taobao.com,,,5379022.00,深圳,秋冬女装,,5.0分,100%,4.97674分,86.20%,4.93023分,56.28%,,,,,,,,,,
732,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao广州卷卷猫有限公司"，"点我对话"),广州卷卷猫有限公司,卷卷猫官方店,,,,,https://shop328734733.taobao.com,,,117.36,深圳,秋冬女装,,4.375,-10.45%,4.58333,-6.46%,4.52083分,-7.70%,,,,,,,,,,
733,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao咬了一口糖2"，"点我对话"),咬了一口糖2,d[s125467667],,,,,https://shop125467667.taobao.com,,,1013.68,深圳,秋冬女装,,4.58788,-4.68%,4.68485,-3.30%,4.69091分,-3.27%,,,,,,,,,,
734,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowjxsmkf"，"点我对话"),wjxsmkf,d[s141826267],,,,,https://shop141826267.taobao.com,,,0,深圳,秋冬女装,,,,,,,,,,,,,,,,,
735,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao羽彤网购"，"点我对话"),羽彤网购,羽彤网购,,,,,https://shop107823078.taobao.com,,,8140.00,深圳,秋冬女装,,4.51923分,-5.75%,4.71154分,-2.56%,4.78846分,-1.10%,,,,,,,,,,
736,,二心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao晓烨里"，"点我对话"),晓烨里,u[4015730169],,,,,https://shop485423188.taobao.com,,,209.37,深圳,秋冬女装,,4.63636,-3.68%,4.63636,-4.30%,4.81818分,-0.65%,,,,,,,,,,
737,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao尚尚衣坊"，"点我对话"),尚尚衣坊,伊贝尔羊绒精品商城,,,,,https://shop70136682.taobao.com,,,26895.00,深圳,秋冬女装,,4.77358,0.45%,4.79245,-0.89%,4.79245分,-1.02%,,,,,,,,,,
738,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao苏mama0531"，"点我对话"),苏mama0531,Divzii,,,,,https://shop141962179.taobao.com,,,2043.00,深圳,秋冬女装,,4.97143分,86.06%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
739,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao喃语花卉店"，"点我对话"),喃语花卉店,喃语花卉百货,,,,,https://shop249002925.taobao.com,,,1954.00,深圳,秋冬女装,,4.63636,-3.31%,4.66667,-3.49%,4.72727分,-2.37%,,,,,,,,,,
740,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao京保诚信"，"点我对话"),京保诚信,百荣馨业大码中老年服,,,,,https://shop65355580.taobao.com,,,170.00,深圳,秋冬女装,,,,,,,,,,,,,,,,,
741,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao如娜鞋服店"，"点我对话"),如娜鞋服店,娜娜鞋服S店,,,,,https://shop413959811.taobao.com,,,2382.40,深圳,秋冬女装,,4.96078,40.10%,4.96078,37.87%,4.96078分,35.12%,,,,,,,,,,
742,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao花喜百货商店"，"点我对话"),花喜百货商店,衣品堂女装1,,,,,https://shop319238711.taobao.com,,,957.42,深圳,秋冬女装,,4.96078,80.87%,4.96078,76.16%,4.96078分,75.19%,,,,,,,,,,
743,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao英都兰可"，"点我对话"),英都兰可,米兰 时尚,,,,,https://shop313908999.taobao.com,,,1457.30,深圳,秋冬女装,,4.51852,-5.77%,4.72222,-2.35%,4.68519分,-3.24%,,,,,,,,,,
744,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolvhmit"，"点我对话"),lvhmit,壹身所求服饰,,,,,https://shop244485134.taobao.com,,,546.66,深圳,秋冬女装,,4.52174分,-5.70%,4.52174分,-6.49%,4.52174分,-6.61%,,,,,,,,,,
745,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芒果芒果乖"，"点我对话"),芒果芒果乖,阿妍韩国女装代购,,,,,https://shop60765664.taobao.com,,,14356.00,深圳,秋冬女装,,4.98分,90.24%,4.985分,90.88%,4.99分,93.67%,,,,,,,,,,
746,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaot_1500559873602_0527"，"点我对话"),t_1500559873602_0527,d[s239123304],,,,,https://shop239123304.taobao.com,,,273.55,深圳,秋冬女装,,,,,,,,,,,,,,,,,
747,北京波瑞德斯服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao波瑞德斯旗舰店"，"点我对话"),波瑞德斯旗舰店,波瑞德斯旗舰店,,,,,https://shop73296544.taobao.com,,,884926.00,深圳,秋冬女装,,4.8995分,20.97%,4.8593分,16.55%,4.91457分,46.47%,,,,,,,,,,
748,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沈风倾"，"点我对话"),沈风倾,商祺的小店,,,,,https://shop347134446.taobao.com,,,2184.79,深圳,秋冬女装,,4.37179,-9.17%,4.47009,-7.73%,4.51282分,-6.95%,,,,,,,,,,
749,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao张莎妹子"，"点我对话"),张莎妹子,St Mandy服饰,15321825772,,,,https://shop554446787.taobao.com,,,9139.86,深圳,秋冬女装,,4.94382分,72.60%,4.96629分,79.51%,4.98876分,92.89%,,,,,,,,,,
750,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao贾倬的小铺"，"点我对话"),贾倬的小铺,糖糖妈衣界,,,,,https://shop314788136.taobao.com,,,393.38,深圳,秋冬女装,,4.5792,-4.85%,4.64775,-4.05%,4.74232分,-2.28%,,,,,,,,,,
751,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao涛佳芳"，"点我对话"),涛佳芳,涛佳芳,,,,,https://shop162853991.taobao.com,,,11784.00,深圳,秋冬女装,,4.67123分,-2.58%,4.79452分,-0.85%,4.83562分,0.13%,,,,,,,,,,
752,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoylof1314"，"点我对话"),ylof1314,十月和小六,,,,,https://shop64231352.taobao.com,,,539.29,深圳,秋冬女装,,4.60606分,-4.29%,4.75758分,-1.79%,4.84848分,0.10%,,,,,,,,,,
753,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohongxue0905"，"点我对话"),hongxue0905,洪大美人,,,,,https://shop57060058.taobao.com,,,2244.00,深圳,秋冬女装,,4.84685分,25.30%,4.89189分,34.28%,4.89189分,31.61%,,,,,,,,,,
754,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowuping202003"，"点我对话"),wuping202003,MUGICOS品牌店,,,,,https://shop62351244.taobao.com,,,1804.00,深圳,秋冬女装,,4.27586,-10.83%,4.33333,-10.39%,4.52874分,-6.47%,,,,,,,,,,
755,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao娇丽潮品优选"，"点我对话"),娇丽潮品优选,娇丽潮品优选,,,,,https://shop332762315.taobao.com,,,1317.50,深圳,秋冬女装,,4.675,-5.26%,4.675,-5.30%,4.65分,-5.86%,,,,,,,,,,
756,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao江南丝绸阁"，"点我对话"),江南丝绸阁,江南丝绸阁,13717956898,,13717956898,,https://shop61170560.taobao.com,,,4798.00,深圳,秋冬女装,,4.74713分,-1.00%,4.81609分,0.40%,4.87356分,20.02%,,,,,,,,,,
757,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozfg郑烽光"，"点我对话"),zfg郑烽光,婉仪婷,,13986779067,,,https://shop209752795.taobao.com,,,4170.00,深圳,秋冬女装,,4.96942,85.08%,4.97859,86.98%,4.96942分,80.66%,,,,,,,,,,
758,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohongliangying88"，"点我对话"),hongliangying88,艾莱依总仓店,,,,,https://shop65635995.taobao.com,,,25413.00,深圳,秋冬女装,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
759,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦梦最新款"，"点我对话"),梦梦最新款,牡缘 羊绒衫品牌店,,,,,https://shop106754353.taobao.com,,,5052.00,深圳,秋冬女装,,4.7分,-1.98%,4.7分,-2.80%,5.0分,100.00%,,,,,,,,,,
760,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofeiyudengdai521"，"点我对话"),feiyudengdai521,d[s64678802],,,,,https://shop64678802.taobao.com,,,420.60,深圳,秋冬女装,,4.45161分,-8.37%,4.41935分,-9.50%,4.6129分,-5.52%,,,,,,,,,,
761,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丽仪时尚"，"点我对话"),丽仪时尚,丽仪服饰,,,,,https://shop62547023.taobao.com,,,0.00,深圳,秋冬女装,,4.86538分,34.33%,4.90385分,41.55%,4.9359分,59.45%,,,,,,,,,,
762,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao那时花开5677"，"点我对话"),那时花开5677,烟雨如诗服饰箱包,,,,,https://shop201211543.taobao.com,,,915.00,深圳,秋冬女装,,4.83333,18.70%,4.83333,0.10%,4.9分,36.74%,,,,,,,,,,
763,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaow119190629"，"点我对话"),w119190629,瞬间美服饰88,,,,,https://shop66799709.taobao.com,,,1095.00,深圳,秋冬女装,,4.8125分,8.54%,4.875分,24.01%,4.875分,20.93%,,,,,,,,,,
764,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao优子格格生活馆"，"点我对话"),优子格格生活馆,优子格格衣馆,,,,,https://shop416680458.taobao.com,,,364.08,深圳,秋冬女装,,4.93182,63.65%,4.95455,70.84%,4.97727分,84.56%,,,,,,,,,,
765,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天仙子精品"，"点我对话"),天仙子精品,u[4070764359],,,,,https://shop351881486.taobao.com,,,11762.00,深圳,秋冬女装,,4.33121,-9.67%,4.36306,-9.77%,4.42675分,-8.58%,,,,,,,,,,
766,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao格阁格小铺"，"点我对话"),格阁格小铺,u[3980080988],,,,,https://shop458237725.taobao.com,,,1233.00,深圳,秋冬女装,,4.80645,0.41%,4.82796,-0.53%,4.88172分,18.57%,,,,,,,,,,
767,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao毛茸茸237340073"，"点我对话"),毛茸茸237340073,u[4146987523],,,,,https://shop196267525.taobao.com,,,625.38,深圳,秋冬女装,,4.44615,-8.48%,4.55385,-6.74%,4.58462分,-6.10%,,,,,,,,,,
768,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao朱非世间物123"，"点我对话"),朱非世间物123,尚美时尚生活馆,,,,,https://shop406590531.taobao.com,,,1046.27,深圳,秋冬女装,,4.53125分,-5.91%,4.625分,-4.61%,4.625分,-4.70%,,,,,,,,,,
769,清河县戎麦绒毛制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao戎麦旗舰店"，"点我对话"),戎麦旗舰店,戎麦旗舰店,,,,,https://shop235749278.taobao.com,,,6184.00,深圳,秋冬女装,,5.0分,100%,5.0分,100%,5.0分,100%,,,,,,,,,,
770,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鑫新商城"，"点我对话"),鑫新商城,鑫新百货商城,,,,,https://shop431668117.taobao.com,,,2236.80,深圳,秋冬女装,,4.63636,-3.31%,4.68182,-3.18%,4.77273分,-1.43%,,,,,,,,,,
771,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雄鹰fdkl"，"点我对话"),雄鹰fdkl,百大网上超市,,,,,https://shop148967882.taobao.com,,,624.85,深圳,秋冬女装,,4.52941,-7.29%,4.55882,-6.96%,4.64706分,-5.12%,,,,,,,,,,
772,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao八齐王"，"点我对话"),八齐王,八齐王,,,,,https://shop148962405.taobao.com,,,714.58,深圳,秋冬女装,,4.28571分,-10.62%,4.35714分,-9.89%,4.35714分,-10.01%,,,,,,,,,,
773,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao毅杰三星正品店"，"点我对话"),毅杰三星正品店,BOBY552200,,,,,https://shop112010787.taobao.com,,,2467.76,深圳,秋冬女装,,4.7971,-1.81%,4.79808,-2.08%,4.80193分,-1.96%,,,,,,,,,,
774,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao林额白百货店"，"点我对话"),林额白百货店,小白白宠物店,,,,,https://shop476819669.taobao.com,,,200.00,深圳,秋冬女装,,4.42857,-7.99%,4.42857,-8.59%,4.42857分,-8.68%,,,,,,,,,,
775,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao已开店"，"点我对话"),已开店,猫咪大码女装2件包邮,,,,,https://shop106597591.taobao.com,,,677.00,深圳,秋冬女装,,4.84932分,26.50%,4.86111分,15.57%,4.94444分,64.86%,,,,,,,,,,
776,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao漫步尘埃"，"点我对话"),漫步尘埃,凡品服饰 牛仔裤 女装,,,,,https://shop57262722.taobao.com,,,1613.00,深圳,秋冬女装,,4.76923分,-0.54%,4.82692分,0.18%,4.78431分,-1.19%,,,,,,,,,,
777,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao菲儿专柜"，"点我对话"),菲儿专柜,菲儿专柜中老年女装大,,,18610150745,,https://shop66954289.taobao.com,,,0,深圳,秋冬女装,,4.60606分,-3.94%,4.78788分,-0.98%,4.81818分,0.49%,,,,,,,,,,
778,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofenglei2000"，"点我对话"),fenglei2000,温馨庄园奶奶装中老年,15810024031,,,,https://shop37031738.taobao.com,,,736.00,深圳,秋冬女装,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
779,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao菲你莫属1937"，"点我对话"),菲你莫属1937,欧韩大牌服饰1988,,,,,https://shop110246715.taobao.com,,,6357.00,深圳,秋冬女装,,4.92857,65.16%,4.91667,49.34%,4.89286分,32.23%,,,,,,,,,,
780,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao馨香梅品牌店"，"点我对话"),馨香梅品牌店,馨香梅品牌店,,,,,https://shop312001045.taobao.com,,,611.00,深圳,秋冬女装,,4.25862,-13.70%,4.46552,-9.55%,4.60345分,-6.80%,,,,,,,,,,
781,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao钦秀旭"，"点我对话"),钦秀旭,旭旭一分利购物店,,,,,https://shop387037015.taobao.com,,,325.35,深圳,秋冬女装,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
782,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao郑艺辉531"，"点我对话"),郑艺辉531,辉辉折扣,,,,,https://shop369215609.taobao.com,,,457.36,深圳,秋冬女装,,4.33333分,-9.97%,4.23529分,-12.58%,4.35294分,-10.24%,,,,,,,,,,
783,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao外贸原单品牌"，"点我对话"),外贸原单品牌,MY 极简主义丨轻奢女,,15110122111,15110122111,,https://shop35628531.taobao.com,,,11457.00,深圳,秋冬女装,,4.87931分,41.13%,4.87931分,26.63%,4.89655分,34.56%,,,,,,,,,,
784,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoye019875"，"点我对话"),ye019875,有道旗见店,,,13960437594,,https://shop65730643.taobao.com,,,167.76,深圳,秋冬女装,,4.59259分,-4.59%,4.59259分,-5.20%,4.74074分,-2.24%,,,,,,,,,,
785,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣简小屋"，"点我对话"),衣简小屋,YIKAONI依靠你,,,,,https://shop69417910.taobao.com,,,66756.00,深圳,秋冬女装,,4.78261分,0.26%,4.83696分,0.82%,4.84239分,0.22%,,,,,,,,,,
786,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao网红的生活馆520"，"点我对话"),网红的生活馆520,网红的生活馆520,,,,,https://shop234752730.taobao.com,,,1079.89,深圳,秋冬女装,,4.99123,95.72%,4.99123,94.67%,4.99123分,94.45%,,,,,,,,,,
787,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao萌动百货店"，"点我对话"),萌动百货店,皇土源小宝店,,,,,https://shop379669864.taobao.com,,,394.72,深圳,秋冬女装,,4.69333,-2.12%,4.72,-2.39%,4.78667分,-1.14%,,,,,,,,,,
788,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb_9824557"，"点我对话"),tb_9824557,意兴服饰贸易,,,18059949910,,https://shop69730091.taobao.com,,,298.80,深圳,秋冬女装,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
789,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小运小铺"，"点我对话"),小运小铺,u[3889452990],,,,,https://shop516479997.taobao.com,,,548.00,深圳,秋冬女装,,4.52941,-6.15%,4.61765,-4.86%,4.73529分,-2.46%,,,,,,,,,,
790,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaommminzai"，"点我对话"),mmminzai,d[s120367579],,,,,https://shop120367579.taobao.com,,,386.12,深圳,秋冬女装,,4.76923分,-2.38%,4.78462分,-2.35%,4.78462分,-2.31%,,,,,,,,,,
791,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao暖冬羊绒精品羊绒店"，"点我对话"),暖冬羊绒精品羊绒店,筱胖吖原创大码女装,,,,,https://shop143881343.taobao.com,,,0,深圳,秋冬女装,,4.78分,0.32%,4.78分,-1.15%,4.82分,0.46%,,,,,,,,,,
792,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao73awch65"，"点我对话"),73awch65,俪人衣舍,,,15258822080,,https://shop102146576.taobao.com,,,1398.00,深圳,秋冬女装,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
793,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoai275777652"，"点我对话"),ai275777652,温雅羊绒精品服饰店,,,,,https://shop106349252.taobao.com,,,23324.00,深圳,秋冬女装,,4.65333分,-2.95%,4.74667分,-1.84%,4.86667分,15.66%,,,,,,,,,,
794,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomonster780"，"点我对话"),monster780,Unknown Gallery,,,,,https://shop127243813.taobao.com,,,894.00,深圳,秋冬女装,,4.98765分,93.98%,4.97531分,84.99%,4.97531分,84.38%,,,,,,,,,,
795,,一心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao新香远精品店"，"点我对话"),新香远精品店,u[2200773021422],,,,,https://shop223472952.taobao.com,,,661.68,深圳,秋冬女装,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
796,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao谁的青春没二过123"，"点我对话"),谁的青春没二过123,胖乐大码显瘦女装,,,,,https://shop124858642.taobao.com,,,1382.79,深圳,秋冬女装,,4.77273分,0.46%,4.79545分,-0.83%,4.81818分,0.49%,,,,,,,,,,
797,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao开心梦竺"，"点我对话"),开心梦竺,开心的梦竺,,,,,https://shop116939629.taobao.com,,,48436.00,深圳,秋冬女装,,4.375分,-8.76%,4.41667分,-8.66%,4.5分,-7.06%,,,,,,,,,,
798,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao唐宋桑榆非晚"，"点我对话"),唐宋桑榆非晚,桑榆生活馆,,,,,https://shop171810843.taobao.com,,,1455.00,深圳,秋冬女装,,4.75758,-2.62%,4.72727,-3.52%,4.84848分,-1.01%,,,,,,,,,,
799,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣行天下95"，"点我对话"),衣行天下95,衣行天下精品服饰,,,,,https://shop110101919.taobao.com,,,0,深圳,秋冬女装,,4.62069分,-3.64%,4.58621分,-5.16%,4.7931分,-1.01%,,,,,,,,,,
800,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomemecha20009"，"点我对话"),memecha20009,hodo红豆内衣折扣店,,,,,https://shop63607352.taobao.com,,,415.80,深圳,秋冬女装,,4.66667分,-3.03%,4.66667分,-3.66%,4.66667分,-3.84%,,,,,,,,,,
801,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaot_1501383351927_0986"，"点我对话"),t_1501383351927_0986,时尚亿佰,,,,,https://shop234963065.taobao.com,,,1217.70,深圳,秋冬女装,,4.625分,-3.55%,4.625分,-4.35%,4.65909分,-3.78%,,,,,,,,,,
802,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao温新羊绒"，"点我对话"),温新羊绒,日系潮牌服饰商城,,,,,https://shop61352838.taobao.com,,,1794.00,深圳,秋冬女装,,4.78788分,0.15%,4.78788分,-0.99%,4.90909分,42.44%,,,,,,,,,,
